,,,,,,,
,PER,Eiweiß,FETT,Kohlehy.,Cholesterin(mg),Natrium(mg),Ballaststoffe(g)
Gemüse,,,,,,,
"Auberginen, roh",100,"1,2","0,2","2,5",0,3,"2,8"
Avocado,100,2,23,"0,4",0,3,7
Blattsalate,100,"1,3","0,2","1,3",0,50,"1,2"
Bleichsellerie,100,"1,2","0,2","2,2",0,16,"1,8"
Blumenkohl (TK oder frisch),100,"2,1","0,2",2,0,11,2
Broccoli (TK oder frisch,100,"2,8","0,2","2,5",0,9,"2,7"
"Champignon (Zucht-), frisch",100,"2,7","0,2","0,6",0,8,2
Champignon/ Dose,100,"2,3","0,5","0,5",0,319,2
"Chicoree, frisch",100,"1,2","0,2","2,4",0,0,0
"Chinakohl,roh",100,"1,2","0,3","1,2",0,19,"1,9"
Essiggurke,100,1,"0,2","3,8",0,960,"0,4"
"Feldsalat, Rucola",100,2,"0,4","3,6",0,0,0
Fenchel,100,"2,4","0,3","2,8",0,86,"4,2"
Frühlingszwiebel,100,"1,9","0,4",7,0,0,"2,4"
Gartenkresse,100,"4,2","0,7","2,5",0,5,"3,5"
Grünkohl,100,"4,3","0,9","2,5",0,44,"4,2"
Gurke,100,"0,6","0,2","1,8",0,8,"0,5"
"Gurke,Salz-Dill-Gurken",100,1,"0,2","3,8",0,960,"0,4"
Kartoffelflocken ohne Milch,100,"7,1","0,5",75,0,138,6
"Kartoffeln, geschält, gekocht, mit Salz",100,"1,5","0,3","16,5",0,120,
"Kartoffeln, roh",100,2,"0,1","14,8",0,3,"2,1"
Knollensellerie,100,"1,4","0,3","2,8",0,60,4
Kohlrabi,100,2,"0,1","3,7",0,30,"1,4"
"Kürbis, Butternuss",100,1,"0,1","10,5",0,0,0
"Kürbis, Hokkaido",100,"1,7","0,6","12,6",0,1,"0,8"
"Kürbis, Muskat",100,"1,1","0,1","4,6",0,0,0
"Lauch, roh",100,"2,2","0,3","3,2",0,5,"2,3"
"Mangold, roh",100,"2,1","0,3","0,7",0,90,2
